ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,uc_ativa_mes,bucket_porte,rank_porte_ano,uc_ativa_media_mensal,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,flag_taxa_fora_prazo_invalida,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs,periodo_regulatorio,regime_regulatorio,ano_comparavel_principal
2025,1,mux,mux_energia,Mux Energia,"MUXFELDT, MARIN & CIA LTDA",Mux Energia,"MUXFELDT, MARIN & CIA LTDA","Mux Energia — MUXFELDT, MARIN & CIA LTDA",157789,M,70,157789.0,28523,4,1030.6100000000001,0.0001402377029064264,False,2.5350309590655877,0.0065315706418064634,257.65250000000003,pos_2022,REN_1000,True
2025,1,neoenergia,neoenergia_brasilia,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,14552444,GG,26,14552444.0,549555,3035,4272767.300000001,0.0055226501442075865,False,20.85560336119486,0.29361166413009393,1407.831070840198,pos_2022,REN_1000,True
2025,1,neoenergia,neoenergia_coelba,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,83475206,GG,3,83475206.0,40075691,23697,35872530.09,0.0005913060862755929,False,28.38807010551133,0.42973874290289266,1513.800484871503,pos_2022,REN_1000,True
2025,1,neoenergia,neoenergia_cosern,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,19613957,GG,22,19613957.0,5513087,1840,1180588.79773975,0.00033375130847744646,False,9.381074915173924,0.060191260628324514,641.6243465976902,pos_2022,REN_1000,True
2025,1,neoenergia,neoenergia_elektro,Neoenergia Elektro,ELEKTRO REDES S.A.,Neoenergia Elektro,ELEKTRO REDES S.A.,Neoenergia Elektro — ELEKTRO REDES S.A.,36737771,GG,13,36737771.0,44924879,734,502892.99,1.6338385686024888e-05,False,1.9979437511328602,0.013688718077098363,685.1403133514987,pos_2022,REN_1000,True
2025,1,neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,50212957,GG,8,50212957.0,1481135,8895,6894282.01,0.006005529543221921,False,17.714551246205236,0.13730085662949504,775.0738628442945,pos_2022,REN_1000,True
2025,1,nova,nova_palma,Nova Palma,NOVA PALMA ENERGIA LTDA.,Nova Palma,NOVA PALMA ENERGIA LTDA.,Nova Palma — NOVA PALMA ENERGIA LTDA.,191472,M,65,191472.0,54355,26,634.41,0.00047833685953454147,False,13.579008941255118,0.003313330408623715,24.400384615384613,pos_2022,REN_1000,True
2025,1,rge,rge,RGE,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,RGE,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,37889306,GG,11,37889306.0,15175540,3921,2667010.1066000005,0.00025837630819068054,False,10.34856642663236,0.07038952116462625,680.1862041826066,pos_2022,REN_1000,True
2025,1,roraima,roraima_energia,Roraima Energia,RORAIMA ENERGIA S.A.,Roraima Energia,RORAIMA ENERGIA S.A.,Roraima Energia — RORAIMA ENERGIA S.A.,2719247,G,36,2719247.0,133304,824,374302.9,0.006181359899177819,False,30.302506539494207,0.13764946692963162,454.25109223300973,pos_2022,REN_1000,True
2025,1,santa,santa_maria,Santa Maria,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,Santa Maria,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,1711726,G,38,1711726.0,177097,57,7844.3099999999995,0.000321857513114282,False,3.3299722034951853,0.004582690220280582,137.6194736842105,pos_2022,REN_1000,True
2025,1,sulgipe,sulgipe,Sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,Sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,1920563,G,37,1920563.0,111366,73,18621.350000000002,0.0006554962915072823,False,3.800968778425909,0.009695776707142646,255.0869863013699,pos_2022,REN_1000,True
