dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,ceraca,Grupo Ceraca,pos_2022,REN_1000,40,118463,180,22117.04,6635.112000000001,165432,0.0015194617728742307,108.80603510808066,0.13369263504037912,7.854197406433466e-05,False,True
economico,Grupo Econômico,ceral,Grupo Ceral,operacional_2023_plus,REN_1000,40,107912,81,3854.75,1156.4250000000002,139866,0.0007506116094595596,57.912573463171896,0.0275603077231064,7.154657154749147e-05,False,True
economico,Grupo Econômico,ceral,Grupo Ceral,pos_2022,REN_1000,40,107912,81,3854.75,1156.4250000000002,139866,0.0007506116094595596,57.912573463171896,0.0275603077231064,7.154657154749147e-05,False,True
economico,Grupo Econômico,cerbranorte,Grupo Cerbranorte,operacional_2023_plus,REN_1000,40,257825,52,9501.4,2850.42,215380,0.00020168719092407642,24.14337450088216,0.04411458816974649,0.00017094016244006217,False,True
economico,Grupo Econômico,cerbranorte,Grupo Cerbranorte,pos_2022,REN_1000,40,257825,52,9501.4,2850.42,215380,0.00020168719092407642,24.14337450088216,0.04411458816974649,0.00017094016244006217,False,True
economico,Grupo Econômico,cerci,Grupo Cerci,operacional_2023_plus,REN_1000,40,160560,1170,987.02,296.106,214999,0.0072869955156950675,544.1885776212913,0.004590812050288606,0.00010645264222389753,False,True
economico,Grupo Econômico,cerci,Grupo Cerci,pos_2022,REN_1000,40,160560,1170,987.02,296.106,214999,0.0072869955156950675,544.1885776212913,0.004590812050288606,0.00010645264222389753,False,True
economico,Grupo Econômico,cercos,Grupo Cercos,operacional_2023_plus,REN_1000,40,13003,112,43012.62,12903.786000000002,45214,0.008613396908405752,247.71088600875837,0.9513119830141107,8.621099320112977e-06,False,True
economico,Grupo Econômico,cercos,Grupo Cercos,pos_2022,REN_1000,40,13003,112,43012.62,12903.786000000002,45214,0.008613396908405752,247.71088600875837,0.9513119830141107,8.621099320112977e-06,False,True
economico,Grupo Econômico,cerej,Grupo Cerej,operacional_2023_plus,REN_1000,40,194068,263,22429.3,6728.789999999999,185554,0.001355195086258425,141.73771516647443,0.1208774804100154,0.00012866873051262673,False,True
economico,Grupo Econômico,cerej,Grupo Cerej,pos_2022,REN_1000,40,194068,263,22429.3,6728.789999999999,185554,0.001355195086258425,141.73771516647443,0.1208774804100154,0.00012866873051262673,False,True
economico,Grupo Econômico,ceres,Grupo Ceres,operacional_2023_plus,REN_1000,40,46113,270,873.62,262.086,75605,0.005855181835924793,357.1192381456253,0.01155505588254745,3.057331023212872e-05,False,True
economico,Grupo Econômico,ceres,Grupo Ceres,pos_2022,REN_1000,40,46113,270,873.62,262.086,75605,0.005855181835924793,357.1192381456253,0.01155505588254745,3.057331023212872e-05,False,True
economico,Grupo Econômico,cerfox,Grupo Cerfox,operacional_2023_plus,REN_1000,40,106192,269,18334.33,5500.299000000001,193631,0.0025331475064034954,138.92403592399978,0.09468695611756382,7.040619695465948e-05,False,True
economico,Grupo Econômico,cerfox,Grupo Cerfox,pos_2022,REN_1000,40,106192,269,18334.33,5500.299000000001,193631,0.0025331475064034954,138.92403592399978,0.09468695611756382,7.040619695465948e-05,False,True
