ano,group_id,distributor_id,sigagente,distributor_name_sig,distributor_name_legal,distributor_label,codigo_base,classe_local,qtd_serv,qtd_fora_prazo,prazo_medio,compensacao_rs,has_qs,has_qv,has_pm,has_cr,taxa_fora_prazo,periodo_regulatorio,ano_comparavel_principal,uc_ativa_media_mensal,bucket_porte,rank_porte_ano,nomagente,fora_prazo_por_100k_uc,compensacao_rs_por_uc
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,ReligIdv,nao_classificado,1.0,0.0,0.685,37.48,True,True,True,True,0.0,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,ResulRsc,nao_classificado,171.0,155.0,31.375,10474.01,True,True,True,True,0.9064327485380117,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,SubstMed,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,VistRr,rural,176.0,12.0,56.5475,33.269999999999996,True,True,True,True,0.06818181818181818,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,VistUb,urbana,7468.0,480.0,36.7475,3116.41,True,True,True,True,0.06427423674343867,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,VrfResfr,nao_classificado,39.0,20.0,2.4325,4129.18,True,True,True,True,0.5128205128205128,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,amazonas,amazonas_energia,Amazonas Energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,VrfRsc,nao_classificado,132.0,14.0,4.8575,690.09,True,True,True,True,0.10606060606060606,pre_2022,True,,,,AMAZONAS ENERGIA S.A.,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,AfedMed,nao_classificado,26.0,4.0,13.066666666666668,106.23,True,True,True,True,0.15384615384615385,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,AnProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,EstProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
