neo_distribuidora,taxa_fora_prazo_2023,taxa_fora_prazo_2025,delta_taxa_fora_prazo_abs,delta_taxa_fora_prazo_pct,fora_prazo_por_100k_uc_mes_2023,fora_prazo_por_100k_uc_mes_2025,delta_fora_prazo_por_100k_uc_mes_abs,delta_fora_prazo_por_100k_uc_mes_pct,compensacao_rs_por_uc_mes_2023,compensacao_rs_por_uc_mes_2025,delta_compensacao_rs_por_uc_mes_abs,delta_compensacao_rs_por_uc_mes_pct,compensacao_media_por_transgressao_rs_2023,compensacao_media_por_transgressao_rs_2025,delta_compensacao_media_por_transgressao_rs_abs,delta_compensacao_media_por_transgressao_rs_pct
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,0.0046502859297429,0.0055226501442075,0.0008723642144646,0.1875936722266935,21.4844524509554,20.85560336119486,-0.6288490897605392,-0.0292699612054844,0.1967144302725423,0.2936116641300939,0.0968972338575515,0.4925781688882868,915.6129564930784,1407.8310708401975,492.2181143471191,0.5375831685829142
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,0.0005100510177639,0.0005913060862755,8.125506851168539e-05,0.1593077274267822,44.13120016287933,28.38807010551133,-15.743130057367996,-0.3567346910861996,0.2402229294911489,0.4297387429028926,0.1895158134117437,0.788916419482456,544.338084177486,1513.800484871503,969.4624006940168,1.780993152736885
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,0.0004157122062409,0.0003337513084774,-8.19608977634916e-05,-0.1971577849604656,36.134293538083405,9.381074915173924,-26.75321862290948,-0.7403830545272228,0.0986031478888507,0.0601912606283245,-0.0384118872605262,-0.3895604560599383,272.879689165443,641.6243465976902,368.7446574322472,1.351308551251987
Neoenergia Elektro — ELEKTRO REDES S.A.,2.553995426410673e-05,1.6338385686024888e-05,-9.201568578081842e-06,-0.3602813256018049,7.367318614145834,1.99794375113286,-5.369374863012974,-0.7288099163654127,0.0384271336481558,0.0136887180770983,-0.0247384155710575,-0.6437746774861184,521.5891379310344,685.1403133514987,163.55117542046423,0.3135632311462921
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,0.0005632291085711,0.0060055295432219,0.0054423004346507,9.662676079468024,42.17389033593797,17.714551246205236,-24.459339089732733,-0.5799640226429386,0.2177839061132415,0.137300856629495,-0.0804830494837465,-0.3695546237557957,516.3951069689667,775.0738628442945,258.67875587532774,0.5009318492455686
