neo_distribuidora,ano_inicio,ano_fim,taxa_inicio,taxa_fim,delta_taxa_abs,delta_taxa_pct,compensacao_inicio,compensacao_fim,delta_comp_abs,delta_comp_pct
Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,2011,2023,0.1191041625437034,0.0024938481400968,-0.1166103144036065,-0.9790616206282312,184396.14,237629.5,53233.35999999999,0.2886902079403612
Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2011,2023,0.0209132195523041,0.0337236571737381,0.0128104376214339,0.6125521510160075,5601.06,3698301.51,3692700.45,659.2860012211975
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2011,2023,0.0154412516617241,0.007940376863223,-0.007500874798501,-0.4857685738711393,8208.28,173506.24,165297.96,20.1379533836565
Neoenergia Elektro — ELEKTRO REDES S.A.,2011,2023,0.0250830673008013,0.0072483969891274,-0.0178346703116739,-0.7110242976983987,1972.1,691780.33,689808.23,349.783596166523
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2011,2023,0.0639009392890991,0.0346278550875579,-0.0292730842015412,-0.4581010001919475,5744.21,3059090.41,3053346.2,531.551980167856
