neo_distribuidora,ano,qtd_serv,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2023,106670.0,847.0,173506.24,0.007940376863223
Neoenergia Elektro — ELEKTRO REDES S.A.,2011,61396.0,1540.0,1972.1,0.0250830673008013
Neoenergia Elektro — ELEKTRO REDES S.A.,2012,506217.0,19402.0,24451.43,0.0383274366526608
Neoenergia Elektro — ELEKTRO REDES S.A.,2013,778395.0,35872.0,1026210.32,0.0460845714579358
Neoenergia Elektro — ELEKTRO REDES S.A.,2014,714182.0,28797.0,941619.89,0.040321654704263
Neoenergia Elektro — ELEKTRO REDES S.A.,2015,685013.0,34647.0,1957121.47,0.0505786021579152
Neoenergia Elektro — ELEKTRO REDES S.A.,2016,563747.0,23564.0,2101885.93,0.0417988920561883
Neoenergia Elektro — ELEKTRO REDES S.A.,2017,537145.0,14981.0,1135255.74,0.0278900483109774
Neoenergia Elektro — ELEKTRO REDES S.A.,2018,529162.0,12615.0,678106.15,0.0238395803175587
Neoenergia Elektro — ELEKTRO REDES S.A.,2019,547230.0,19383.0,876118.8500000001,0.035420207225481
Neoenergia Elektro — ELEKTRO REDES S.A.,2020,544437.0,23481.0,1170787.34,0.0431289570694129
Neoenergia Elektro — ELEKTRO REDES S.A.,2021,616731.0,24718.0,1337404.33,0.0400790620221782
Neoenergia Elektro — ELEKTRO REDES S.A.,2022,509981.0,5861.0,578141.51,0.0114925850178732
Neoenergia Elektro — ELEKTRO REDES S.A.,2023,165002.0,1196.0,691780.33,0.0072483969891274
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2011,129779.0,8293.0,5744.21,0.0639009392890991
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2012,802364.0,24087.0,25948.79,0.0300200407794965
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2013,893438.0,34316.0,795497.33,0.0384089326847526
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2014,969846.0,38339.0,1323953.64,0.0395310183266209
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2015,871526.0,20861.0,1274333.87,0.0239361763160249
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2016,1112774.0,21966.0,1213483.63,0.0197398573295206
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2017,1284450.0,31600.0,1548009.1,0.0246019697146638
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2018,1361692.0,35204.0,1409001.58,0.0258531297826527
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2019,1367257.0,24035.0,1194957.76,0.0175789920987787
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2020,1018685.0,22328.0,1607628.83,0.0219184536927509
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2021,1161380.0,33903.0,3911987.01,0.0291919957292186
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2022,971320.0,24980.0,1305132.44,0.02571758020014
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,263083.0,9110.0,3059090.41,0.0346278550875579
