neo_distribuidora,ano,mes,taxa_fora_prazo,taxa_var_abs,taxa_var_pct,qtd_fora_prazo,compensacao_rs
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,3,0.0002685431741207,9.657757195259417e-05,0.5616098262380556,451,13479.34
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,8,0.000671509368395,0.0004881122770128,2.661505007161894,400,22927.27
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,9,0.0080625606207565,0.0073910512523614,11.006624181619786,266,11743.69
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,10,0.0001584406098616,-0.0079041200108949,-0.9803485992460376,341,42880.67
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,11,0.0078674351585014,0.0077089945486398,48.655420825339945,273,20682.89
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,12,0.0001330665412546,-0.0077343686172468,-0.9830864139870502,350,2677095.56
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,2,4.384385579106292e-05,-6.545788291027169e-05,-0.5988732081301504,108,109715.73
Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,3,0.0045767043765973,0.0045328605208063,103.38644808995788,231,106448.13773975
Neoenergia Elektro — ELEKTRO REDES S.A.,2023,4,1.4704837624217684e-05,-2.6755642649582927e-05,-0.6453288160892373,154,69239.99
Neoenergia Elektro — ELEKTRO REDES S.A.,2023,6,1.7462270456447693e-05,5.856003020448844e-06,0.5045552373095794,174,193292.23
Neoenergia Elektro — ELEKTRO REDES S.A.,2023,11,4.8356383466120886e-05,3.025805228658249e-05,1.6718697423766695,314,64548.22
