group_id,group_label,distributor_id,distributor_label,ano,mes,taxa_fora_prazo,taxa_var_abs,taxa_var_pct,qtd_fora_prazo,compensacao_rs
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2025,1,0.000661844655604406,0.0004877196338387783,2.800973857136104,14,734.26
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2024,1,0.0024031240612796636,0.0010335042575918354,0.7545920808161721,88,40854.01
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2025,1,0.0006723173337815449,-0.0017308067274981187,-0.7202319494801546,28,1021.98
cernhe,Grupo Cernhe,cernhe,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,2025,1,0.00026380583890256773,-0.0019266703515736228,-0.8795668996314365,3,262.29
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2024,1,6.190992106485064e-05,-7.184429219286697e-05,-0.5371366661507506,6,0.0
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2025,1,0.00011201287129721088,5.0102950232360234e-05,0.8092879036281986,11,0.0
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2024,1,0.0006657789613848203,0.0002616569165272733,0.6474700399467379,3,114.35
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2024,1,0.00039674667724657806,-0.0007859854339302405,-0.6645506843880182,6,0.0
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2025,1,7.287567409998542e-05,-0.0003238710031465926,-0.8163168634309867,1,0.0
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2024,1,0.0068415051311288486,0.0068415051311288486,inf,12,1240.42
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2025,1,8.366800535475234e-05,-0.00016763036958242303,-0.6670571173583222,5,1274.67
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2024,1,0.001958260049681783,0.001338648457634055,2.160463869324996,108,9420.779999999999
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2025,1,0.0005845488778020963,-0.0013737111718796866,-0.7014957855586721,43,2441.82
certel,Grupo Certel,certel_energia,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2025,1,0.0009988123877097354,0.00050786559315265,1.0344615725841089,164,155224.88
