group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2023,12233,112,0.0,199708,0.009155562821875256,56.08187954413443,0.0,sem_cod_69_93
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2024,11313,24,3264.2599999999998,207314,0.0021214531954388757,11.57664219493136,0.015745487521344432,sem_cod_69_93
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2025,11821,43,4679.97,214588,0.003637594112173251,20.038399164911365,0.021809094637165172,sem_cod_69_93
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2023,9790,22,5143.929999999999,246352,0.0022471910112359553,8.93031109956485,0.02088040689744755,sem_cod_69_93
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2024,10151,59,2793.08,261589,0.005812235247758842,22.55446521069311,0.010677360286556392,sem_cod_69_93
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2025,10402,59,2698.89,280269,0.005671986156508364,21.05120437865051,0.009629641522965436,sem_cod_69_93
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2023,3403,80,314.91999999999996,152587,0.023508668821627974,52.42910601820601,0.002063871758406679,sem_cod_69_93
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2024,3836,35,11028.779999999999,155995,0.009124087591240875,22.43661655822302,0.07069957370428538,sem_cod_69_93
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2025,3498,47,6633.79,166365,0.013436249285305889,28.251134553541913,0.03987491359360442,sem_cod_69_93
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2023,737,8,0.0,46365,0.010854816824966078,17.254394478593767,0.0,sem_cod_69_93
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2024,520,3,0.0,48629,0.0057692307692307696,6.169158321166382,0.0,sem_cod_69_93
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2025,894,26,0.0,49556,0.029082774049217,52.46589716684156,0.0,sem_cod_69_93
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2023,5587,13,0.0,89778,0.0023268301413996778,14.480162177816391,0.0,sem_cod_69_93
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2024,3869,9,3154.5899999999997,93108,0.0023261824760920135,9.666194097177472,0.03388097693001675,sem_cod_69_93
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2025,4787,13,571.8399999999999,97198,0.0027156883225402132,13.374760797547273,0.005883248626514948,sem_cod_69_93
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2023,9029,21,1189.3400000000001,215380,0.002325838963340348,9.750208933048565,0.005522054044015229,sem_cod_69_93
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2024,8467,12,2249.85,220243,0.0014172670367308374,5.448527308472913,0.010215307637473154,sem_cod_69_93
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2025,10843,16,5275.59,223433,0.0014756063819976021,7.160983382042939,0.023611507700294944,sem_cod_69_93
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2023,13790,150,311.33000000000004,214999,0.010877447425670777,69.767766361704,0.0014480532467592874,sem_cod_69_93
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2024,21089,443,103.1,216090,0.02100621176916876,205.00717293720209,0.00047711601647461706,sem_cod_69_93
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2025,15242,345,1.37,221227,0.0226348248261383,155.94841497647212,6.192734159935271e-06,sem_cod_69_93
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2023,3388,68,16964.96,87310,0.020070838252656435,77.88340396289085,0.19430718130798305,sem_cod_69_93
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2024,3850,38,20817.6,82533,0.009870129870129871,46.042189184932084,0.2522336519937479,sem_cod_69_93
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2025,3604,5,4179.63,84776,0.0013873473917869034,5.897895630838916,0.04930204303104652,sem_cod_69_93
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2023,8462,123,0.0,185554,0.01453557078704798,66.28798085732454,0.0,sem_cod_69_93
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2024,5236,45,12534.93,192593,0.008594346829640947,23.365335188714024,0.06508507578157047,sem_cod_69_93
