group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,delta_serv_pct,share_serv_focus,delta_share_focus_abs,alerta_quebra_volume,alerta_quebra_mix
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2024,2091505,2.0345794690840715,0.7019414249547574,0.3060541662406093,True,True
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2025,603690,-0.7113609577792068,0.22689625470026006,-0.47504517025449733,True,True
amazonas,Grupo Amazonas,amazonas_energia,Amazonas Energia — AMAZONAS ENERGIA S.A.,2026,225739,-0.6260680150408322,0.15367304719166824,-0.07322320750859182,True,False
castro_dis,Grupo Castro DIS,castro_dis,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2026,965,-0.8884393063583815,0.6424870466321243,-0.24722393602683523,True,False
cegero,Grupo Cegero,cegero,Cegero — COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,2026,6935,-0.5694151247982118,0.7828406633020908,0.01033352310589064,True,False
cejama,Grupo Cejama,cejama,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,2026,2930,-0.5101972584419927,0.7689419795221843,0.14440169199292996,True,False
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2024,12436742,7.217657129528742,0.8541118727074984,0.708126331379497,True,True
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2025,19030142,0.5301549232105964,0.886189078357902,0.032077205650403506,True,False
celesc,Grupo Celesc,celesc_dis,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,2026,6328578,-0.6674445203824544,0.8818793100124546,-0.0043097683454473845,True,False
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2026,22667390,-0.6166613395567506,0.9363698687850697,0.005153968630329797,True,False
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2026,8413,-0.8783211119306924,0.7550219897777249,-0.09453182055189135,True,False
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2025,1458,0.6875,0.3868312757201646,-0.011316872427983515,True,False
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2026,598,-0.5898491083676269,0.29431438127090304,-0.09251689444926159,True,False
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2026,9485,-0.6719355285002767,0.8064312071692146,-0.02799740378817339,True,False
