group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,12,36100762,20333,10499861.71,4017691.1666666665,48212294,0.0005632291085711709,42.17389033593797,0.21778390611324158,516.3951069689667
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,12,32550577,10914,11363770.79,4100319.5833333335,49203835,0.0003352935955636055,22.18119786801171,0.2309529488910773,1041.2104443833607
companhia,Grupo Companhia,neoenergia_pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,2025,12,1481135,8895,6894282.01,4184413.0833333335,50212957,0.006005529543221921,17.714551246205236,0.13730085662949504,775.0738628442945
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2023,12,10591146,35527,9778555.31,4154017.5,49848210,0.0033544056516641354,71.27036256667992,0.1961666288518685,275.24292256593577
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2024,12,13375667,21811,28734341.29,4217463.25,50609559,0.0016306476529357376,43.09660157283726,0.5677650992769963,1317.4242946219797
companhia,Grupo Companhia,enel_ce,COMPANHIA ENERGÉTICA DO CEARÁ,2025,12,13108905,27974,20058850.50108,4296990.75,51563889,0.0021339692369423684,54.251144633408074,0.38900965171730933,717.0533531522127
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2023,12,16441663,6835,1865132.675445803,1576295.75,18915549,0.00041571220624093806,36.134293538083405,0.09860314788885076,272.879689165443
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,12,17666873,3874,3118335.6222180594,1605168.1666666667,19262018,0.00021928045783767167,20.112119093648445,0.16189039083122336,804.9394997981568
companhia,Grupo Companhia,neoenergia_cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,12,5513087,1840,1180588.79773975,1634496.4166666667,19613957,0.00033375130847744646,9.381074915173924,0.060191260628324514,641.6243465976902
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2023,12,7954605,7859,4329850.6,1902412.0,22828944,0.0009879811756837707,34.42559585760953,0.1896649534030133,550.9416719684438
