ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,uc_ativa_mes,bucket_porte,rank_porte_ano,uc_ativa_media_mensal,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,flag_taxa_fora_prazo_invalida,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs,periodo_regulatorio,regime_regulatorio,ano_comparavel_principal,distributor_alias_of,group_label
2024,8,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,GG,13,1166699.0,55968,102,20242.57,0.0018224699828473414,False,,,198.456568627451,pos_2022,REN_1000,True,,Grupo Amazonas
2024,9,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,GG,13,1166699.0,51011,103,10308.39,0.0020191723353786438,False,,,100.08145631067961,pos_2022,REN_1000,True,,Grupo Amazonas
2024,10,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,GG,13,1166699.0,63845,198,20083.47,0.003101260866160232,False,,,101.43166666666667,pos_2022,REN_1000,True,,Grupo Amazonas
2024,11,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,GG,13,1166699.0,55235,151,8893.720000000001,0.0027337738752602515,False,,,58.898807947019876,pos_2022,REN_1000,True,,Grupo Amazonas
2024,12,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,GG,13,1166699.0,50321,146,11844.51,0.0029013731841577074,False,,,81.1267808219178,pos_2022,REN_1000,True,,Grupo Amazonas
2025,1,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,69301,193,17083.95,0.002784952598086608,False,,,88.5178756476684,pos_2022,REN_1000,True,,Grupo Amazonas
2025,2,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,53490,134,43379.32,0.002505141147878108,False,,,323.7262686567164,pos_2022,REN_1000,True,,Grupo Amazonas
2025,3,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,50118,197,33125.64,0.003930723492557564,False,,,168.15045685279188,pos_2022,REN_1000,True,,Grupo Amazonas
2025,4,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,50557,172,58682.590000000004,0.003402100599323536,False,,,341.1778488372093,pos_2022,REN_1000,True,,Grupo Amazonas
2025,5,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,52587,188,41209.380000000005,0.0035750280487572973,False,,,219.19882978723408,pos_2022,REN_1000,True,,Grupo Amazonas
2025,6,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,47720,125,28832.48,0.002619446772841576,False,,,230.65984,pos_2022,REN_1000,True,,Grupo Amazonas
2025,7,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,52341,208,42427.18,0.00397394012342141,False,,,203.9768269230769,pos_2022,REN_1000,True,,Grupo Amazonas
2025,8,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,47715,167,31781.82,0.0034999476055747668,False,,,190.3102994011976,pos_2022,REN_1000,True,,Grupo Amazonas
2025,9,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,48425,151,34926.8,0.0031182240578213733,False,,,231.30331125827817,pos_2022,REN_1000,True,,Grupo Amazonas
2025,10,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,48190,336,78347.59999999999,0.006972400913052501,False,,,233.17738095238093,pos_2022,REN_1000,True,,Grupo Amazonas
2025,11,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,41964,244,51451.39,0.0058145076732437325,False,,,210.86635245901638,pos_2022,REN_1000,True,,Grupo Amazonas
2025,12,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,41282,299,85623.01,0.007242866140206385,False,,,286.36458193979934,pos_2022,REN_1000,True,,Grupo Amazonas
2026,1,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,45438,174,36110.869999999995,0.0038293938993793743,False,,,207.5337356321839,pos_2022,REN_1000,True,,Grupo Amazonas
2026,2,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,42859,113,22471.370000000003,0.002636552416061971,False,,,198.86168141592924,pos_2022,REN_1000,True,,Grupo Amazonas
2026,3,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,55326,112,34319.020000000004,0.002024364674836424,False,,,306.4198214285715,pos_2022,REN_1000,True,,Grupo Amazonas
2026,4,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,,,,,82116,108,20424.62,0.00131521262604121,False,,,189.11685185185183,pos_2022,REN_1000,True,,Grupo Amazonas
2023,1,castro_dis,castro_dis,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2304,P,97,2327.5,567,2,0.0,0.003527336860670194,False,86.80555555555556,0.0,0.0,pos_2022,REN_1000,True,,Grupo Castro DIS
