group_id,group_label,distributor_id,distributor_label,classe_local_servico,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_fora_prazo,share_compensacao
enel,Grupo ENEL,enel_sp,Enel SP — ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,grupo_a,282,11,0.0,107997350,0.03900709219858156,0.01018543510558361,0.0,0.00016054644170704653,0.0
enel,Grupo ENEL,enel_sp,Enel SP — ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,rural,48,0,2752.44,107997350,0.0,0.0,2.54861809109205e-05,0.0,5.988518765219555e-05
energisa,Grupo Energisa,energisa_ac,Energisa AC — ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A.,urbana,308265,9794,2227341.56,3761856,0.031771365545877735,260.35021010905257,0.5920858108338012,0.6052029907928073,0.5207871456483764
energisa,Grupo Energisa,energisa_ac,Energisa AC — ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,693206,4624,1733160.72,3761856,0.006670455824098464,122.91804896306503,0.4607195809727964,0.28573194092566273,0.40523996881676505
energisa,Grupo Energisa,energisa_ac,Energisa AC — ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A.,rural,30207,1765,316372.79,3761856,0.058430165193498196,46.9183296755644,0.08410018618469181,0.10906506828153,0.0739728855348585
energisa,Grupo Energisa,energisa_ac,Energisa AC — ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,18,0,0.0,3761856,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_ms,Energisa MS — ENERGISA MATO GROSSO DO SUL DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,4351176,11937,5010841.54,14450875,0.0027433962680433977,82.60399456780299,0.34675004385547586,0.464528933338522,0.42160267642347304
energisa,Grupo Energisa,energisa_ms,Energisa MS — ENERGISA MATO GROSSO DO SUL DISTRIBUIDORA DE ENERGIA S.A.,urbana,1461925,11053,5461846.82,14450875,0.007560579373086854,76.48671793230513,0.37795959206622437,0.43012803050939796,0.45954940285879314
energisa,Grupo Energisa,energisa_ms,Energisa MS — ENERGISA MATO GROSSO DO SUL DISTRIBUIDORA DE ENERGIA S.A.,rural,111142,2707,1412533.96,14450875,0.0243562289683468,18.732429697163667,0.09774729627098705,0.10534303615208002,0.11884792071773378
energisa,Grupo Energisa,energisa_ms,Energisa MS — ENERGISA MATO GROSSO DO SUL DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,331,0,0.0,14450875,0.0,0.0,0.0,0.0,0.0
