group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
neoenergia,Grupo Neoenergia,neoenergia_coelba,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2025,2083406,23680,35872530.09,0,0.011366003553796043,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_coelba,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,2026,702136,6677,14210970.260000002,0,0.009509553704695386,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2023,385624,6830,1865132.675445803,18915549,0.017711553222828455,36.10786025824574,0.09860314788885076,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2024,447368,3871,3086162.5022180597,0,0.00865283167325334,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2025,641164,1833,1180503.13773975,0,0.002858862943022378,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,2026,255012,476,1007341.0194735,0,0.001866578827663012,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro — ELEKTRO REDES S.A.,2023,973239,2598,1361347.65,35426729,0.002669436798155438,7.333445884885393,0.038427133648155885,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro — ELEKTRO REDES S.A.,2024,1212036,1695,350467.92,0,0.001398473312673881,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro — ELEKTRO REDES S.A.,2025,1349642,610,462343.16000000003,0,0.0004519717080529503,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro — ELEKTRO REDES S.A.,2026,469560,70,104261.5,0,0.0001490757304710793,,,sem_cod_69_93
