ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,uc_ativa_mes,bucket_porte,rank_porte_ano,uc_ativa_media_mensal,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs,periodo_regulatorio,ano_comparavel_principal,group_label
2024,5,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1180616,GG,26,1179382.4166666667,314909,132,47308.07000000001,0.0004191687122311525,11.180604023662225,0.04007066649952229,358.39446969696974,pos_2022,True,Grupo Amazonas
2024,6,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1176231,GG,26,1179382.4166666667,419224,854,198665.50999999998,0.00203709711276072,72.6047859646617,0.16890008000129225,232.6294028103044,pos_2022,True,Grupo Amazonas
2024,7,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1177548,GG,26,1179382.4166666667,60218,89,16459.32,0.0014779633996479457,7.558078311881978,0.013977621294418572,184.9361797752809,pos_2022,True,Grupo Amazonas
2024,8,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1179620,GG,26,1179382.4166666667,55968,102,20242.57,0.0018224699828473414,8.646852376188942,0.017160246520065783,198.456568627451,pos_2022,True,Grupo Amazonas
2024,9,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1180138,GG,26,1179382.4166666667,51011,103,10308.39,0.0020191723353786438,8.727792851344505,0.008734902189404967,100.08145631067961,pos_2022,True,Grupo Amazonas
2024,10,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1181223,GG,26,1179382.4166666667,63845,198,20083.469999999998,0.003101260866160232,16.7622878999139,0.01700226798834767,101.43166666666666,pos_2022,True,Grupo Amazonas
2024,11,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1183057,GG,26,1179382.4166666667,55235,151,8893.720000000001,0.0027337738752602515,12.763543937443421,0.007517575230948298,58.898807947019876,pos_2022,True,Grupo Amazonas
2024,12,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1184401,GG,26,1179382.4166666667,50321,146,11844.509999999998,0.0029013731841577074,12.32690617451353,0.010000422154321044,81.12678082191779,pos_2022,True,Grupo Amazonas
2025,1,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1185461,G,27,1191364.8333333333,69301,193,17083.95,0.002784952598086608,16.28058620232973,0.014411229049289686,88.5178756476684,pos_2022,True,Grupo Amazonas
2025,2,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1185888,G,27,1191364.8333333333,53490,134,43379.32,0.002505141147878108,11.299549367225236,0.036579609541541866,323.7262686567164,pos_2022,True,Grupo Amazonas
2025,3,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1186534,G,27,1191364.8333333333,50118,197,33125.64,0.003930723492557564,16.602979771333988,0.027917986336674718,168.15045685279188,pos_2022,True,Grupo Amazonas
