group_id,group_label,distributor_id,distributor_label,taxa_fora_prazo_2023,taxa_fora_prazo_2026,delta_taxa_fora_prazo_abs,delta_taxa_fora_prazo_pct,fora_prazo_por_100k_uc_mes_2023,fora_prazo_por_100k_uc_mes_2026,delta_fora_prazo_por_100k_uc_mes_abs,delta_fora_prazo_por_100k_uc_mes_pct,compensacao_rs_por_uc_mes_2023,compensacao_rs_por_uc_mes_2026,delta_compensacao_rs_por_uc_mes_abs,delta_compensacao_rs_por_uc_mes_pct,compensacao_media_por_transgressao_rs_2023,compensacao_media_por_transgressao_rs_2026,delta_compensacao_media_por_transgressao_rs_abs,delta_compensacao_media_por_transgressao_rs_pct
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,0.020070838252656435,0.0005037783375314861,-0.01956705991512495,-0.97489998518299,150.39589507674614,,,,0.3752147564913522,,,,249.48470588235293,1050.4299999999998,800.9452941176469,3.210398374060416
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,0.002617856762796637,0.0008912277723549633,-0.0017266289904416738,-0.6595582367146509,66.28798085732454,,,,0.0,,,,0.0,136.29380952380953,136.29380952380953,
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,0.016036966567001903,0.004912998976458547,-0.011123967590543356,-0.6936453689086273,169.2120169212017,,,,0.008533017853301786,,,,5.042796610169491,0.0,-5.042796610169491,-1.0
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,0.005019883955929331,0.0004986702127659574,-0.004521213743163373,-0.9006610078751036,79.53271945091437,,,,0.0004558670873981955,,,,0.5731818181818181,129.56333333333333,128.99015151515152,225.0422944752842
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,0.0007422023497040242,0.0001644331168297295,-0.0005777692328742946,-0.7784524437368028,16.809065415962873,,,,0.0010308466849243182,,,,6.132682926829268,1005.4975,999.3648170731707,162.95719654788417
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,0.0019723865877712033,0.0,-0.0019723865877712033,-1.0,12.576243476073698,,,,2.0960405793456162e-05,,,,0.16666666666666666,,,
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,0.0023308351561659555,0.0003732736095558044,-0.0019575615466101513,-0.8398541361587274,79.04080937788804,,,,0.0008644632521037016,,,,1.0936923076923077,38.7625,37.668807692307695,34.441869461246306
ceriluz,Grupo Ceriluz,ceriluz,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,0.00012750223128904755,0.0,-0.00012750223128904755,-1.0,3.3448172057397065,,,,0.0018992429563724341,,,,56.781666666666666,,,
cerim,Grupo Cerim,cerim,Cerim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,0.0005183666737353031,5.012656958821023e-05,-0.00046824010414709294,-0.903299011823035,11.823570825876423,,,,0.000555170393778652,,,,4.695454545454545,422.985,418.2895454545455,89.08393030009681
ceripa,Grupo Ceripa,ceripa,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,0.0001449380389883325,0.00016582372937567366,2.0885690387341155e-05,0.14410082082746034,4.472221911651256,,,,0.0,,,,0.0,0.0,0.0,
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,0.00013435442697836894,0.0009297383450657458,0.0007953839180873768,5.920042502324345,4.7585624382873934,,,,5.17493665163754e-05,,,,1.0875,64.30142857142857,63.213928571428575,58.12775041050904
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,0.004669842159335014,0.0005993407252022775,-0.0040705014341327365,-0.8716571771051843,122.71745533084625,,,,0.0,,,,0.0,0.0,0.0,
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,0.002467961780555178,0.000814048145133155,-0.001653913635422023,-0.670153666257331,63.95156109280897,,,,0.15417459949601475,,,,241.0802752293578,72.52952380952381,-168.550751419834,-0.6991478305700414
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,0.0013696198036878282,0.0013287642492481992,-4.085555443962899e-05,-0.029829850831319504,30.465100534831766,,,,0.008223151219732359,,,,26.99203703703704,0.0,-26.99203703703704,-1.0
cernhe,Grupo Cernhe,cernhe,Cernhe — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,0.003207184092366902,0.00048340315823396714,-0.002723780934132935,-0.849274895262649,44.63488662738797,,,,0.0,,,,0.0,145.03666666666666,145.03666666666666,
cerpalo,Grupo Cerpalo,cerpalo,Cerpalo — COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,0.00013375421325771762,0.00015919130815457476,2.5437094896857144e-05,0.19017789628686277,5.015900404281572,,,,0.0,,,,0.0,0.0,0.0,
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,0.00040412204485754696,0.0015527950310559005,0.0011486729861983536,2.842391304347826,8.175612148959653,,,,0.0,,,,0.0,0.0,0.0,
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,0.0011827321111768185,0.0007883326763894363,-0.00039439943478738223,-0.3334647221127317,25.473650692564878,,,,0.0,,,,0.0,0.0,0.0,
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,0.0,0.0017889087656529517,0.0017889087656529517,,0.0,,,,0.0,,,,,0.0,,
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,0.0002486634340420241,0.00013160780872998465,-0.00011705562531203945,-0.4707391971923667,8.085381630012938,,,,0.026110437329308612,,,,322.93388888888893,59.73666666666667,-263.19722222222225,-0.8150188979168422
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,0.0006196115920477278,0.0003940110323089047,-0.00022560055973882317,-0.36409996622762586,11.068768678547144,,,,0.0,,,,0.0,116.11181818181818,116.11181818181818,
certel,Grupo Certel,certel_energia,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,0.0007965265196476541,0.00012221286765704353,-0.0006743136519906105,-0.8465677354834278,11.56749805223746,,,,0.0,,,,0.0,459.41333333333336,459.41333333333336,
certhil,Grupo Certhil,certhil,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,0.0004183600286875448,0.0038068046633357128,0.003388444634648168,8.099350803847592,13.543581309857794,,,,0.0,,,,0.0,114.21875,114.21875,
certrel,Grupo Certrel,certrel,Certrel — COOPERATIVA DE ENERGIA TREVISO,0.001424024124643994,0.0015319800842589046,0.00010795595961491061,0.07581048505192967,30.365818805372964,,,,0.0,,,,0.0,68.17750000000001,68.17750000000001,
cervam,Grupo Cervam,cervam,Cervam — COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,0.0017211703958691911,0.00032536196518626975,-0.0013958084306829213,-0.8109646982267773,27.566941723485197,,,,0.0,,,,0.0,0.0,0.0,
cetril,Grupo Cetril,cetril,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,0.0008983681406950198,3.369669603895338e-05,-0.0008646714446560664,-0.9624912165597457,22.091349027720742,,,,0.0,,,,0.0,598.73,598.73,
