group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2024,12,35510,71,1752.33,24050.0,24050,0.0019994367783722896,295.2182952182952,0.07286195426195426,24.680704225352113
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2025,12,45636,9,1654.81,,0,0.0001972127267946358,,,183.86777777777777
celetro,Grupo Celetro,celetro,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,2026,4,24963,1,8689.25,,0,4.0059287745863876e-05,,,8689.25
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2023,12,61990419,107304,81427220.05,10348449.75,124181397,0.001730977169229974,86.40907784279476,0.6557119022424912,758.8460826250652
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2024,12,49352569,57485,34935633.06,10390137.0,10390137,0.0011647823236922074,553.265082067734,3.3623842553760364,607.7347666347744
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2025,12,59131500,49304,41558685.94,,0,0.0008338026263497459,,,842.9069840175239
cemig,Grupo Cemig,cemig_d,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,2026,4,22667390,19902,12263023.66,,0,0.0008780013931908349,,,616.1704180484373
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2023,12,38388,112,0.0,16646.333333333332,199756,0.0029175784099197666,56.068403452211705,0.0,0.0
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2024,12,41615,24,3264.2599999999998,16935.0,16935,0.0005767151267571789,141.718334809566,0.1927522881606141,136.01083333333332
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2025,12,43634,43,4679.97,,0,0.0009854700462941742,,,108.83651162790699
cemirim,Grupo Cemirim,cemirim,Cemirim — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,2026,4,26777,10,255.41,,0,0.0003734548306382343,,,25.541
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2023,12,72335,22,5143.929999999999,20456.25,245475,0.000304140457593143,8.962216111620329,0.020955005601385066,233.81499999999997
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2024,12,66825,59,2793.08,21063.0,21063,0.0008829031051253274,280.1120448179272,0.13260599154916203,47.34033898305085
